：“	;q
？	;w
（	;e
）	;r
@	;t
《	;y
》	;u
-	;i
[	;o
]	;p
！	;a
……	;s
、	;d
|	;f
·	;g
=	;h
+	;j
(	;k
)	;l
“	;z
→	;x
”	;c
——	;v
_	;b
「	;n
」	;m
阿爸	aaba
嗷嗷待哺	aadb
阿哥	aage
啊哈	aaha
安安静静	aajj
阿拉	aala
阿妹	aamw
阿妈	aama
阿曼	aamj
阿门	aamf
阿婆	aapo
矮矮胖胖	aapp
安安全全	aaqq
AA制	aavi
安安稳稳	aaww
阿姨	aayi
啊呀	aaya
啊哟	aayo
安安心心	aaxx
腌臜	aaza
爱不爱	abai
按兵不动	abbd
哀兵必胜	abbu
安邦定国	abdg
安步当车	abdi
阿鼻地狱	abdy
熬不过	abgo
阿布哈兹	abhz
矮半截	abjp
按部就班	abjb
阿波罗	ablo
爱别离苦	ablk
鞍不离马	ablm
爱不释手	abuu
熬不住	abvu
阿布扎比	abvb
爱才若渴	acrk
爱财如命	acrm
暗藏杀机	acuj
暗藏玄机	acxj
安道尔	ader
暗渡陈仓	adic
奥地利	adli
澳大利亚	adly
安度晚年	adwn
阿尔巴尼亚	aeby
阿尔法	aefa
阿尔及利亚	aejy
阿尔及尔	aeje
爱尔兰	aelj
埃菲尔铁塔	afet
阿富汗	afhj
阿凡提	afti
安分守己	afuj
爱岗敬业	agjy
安哥拉	agla
阿根廷	agtk
熬更守夜	aguy
爱国者	agve
爱国主义	agvy
哀鸿遍野	ahby
昂贵	ahgv
昂起	ahqi
盎然	ahrj
安好如初	ahri
盎司	ahsi
安徽省	ahug
昂首	ahuz
昂着	ahve
昂扬	ahyh
肮脏	ahzh
矮矮	aiai
癌变	aibm
爱才	aicd
挨打	aida
哀悼	aidc
爱戴	aidd
挨饿	aiee
挨罚	aifa
爱抚	aifu
爱妃	aifw
爱国	aigo
哀告	aigc
挨个	aige
爱岗	aigh
爱好	aihc
爱河	aihe
爱恨	aihf
爱火	aiho
爱护	aihu
哀愁	aiiz
爱巢	aiic
爱称	aiig
爱吃	aiii
挨近	aijb
埃及	aiji
爱将	aijl
爱看	aikj
爱哭	aiku
艾灸	aijq
爱恋	ailm
爱侣	ailv
爱慕	aimu
挨骂	aima
哀鸣	aimk
暧昧	aimw
爱民	aimb
矮胖	aiph
爱情	aiqk
矮墙	aiql
哀切	aiqp
哀求	aiqq
爱人	airf
爱死	aisi
挨踢	aiti
哀叹	aitj
爱听	aitk
哀痛	aits
爱神	aiuf
爱上	aiuh
碍事	aiui
碍手	aiuz
挨着	aive
癌症	aivg
爱玩	aiwj
爱心	aixb
爱惜	aixi
矮小	aixn
暗潮汹涌	aixy
哎呀	aiya
爱意	aiyi
碍眼	aiyj
哎哟	aiyo
哀怨	aiyr
爱用	aiys
哀乐	aiyt
碍于	aiyu
艾叶	aiye
矮子	aizi
爱憎	aizg
阿昌族	aizu
挨揍	aizz
挨家挨户	ajah
挨肩擦背	ajcb
安静了	ajle
安家落户	ajlh
安居乐业	ajly
阿基米德	ajmd
暗箭难防	ajnf
氨基酸	ajsr
暗箭伤人	ajur
爱看不看	akbk
阿拉伯	albo
阿里巴巴	albb
爱理不理	albl
阿拉伯联合酋长国	albg
阿拉伯数字	albz
阿鲁巴	alba
阿拉丁	aldk
按劳分配	alfp
安理会	alhv
奥林匹克	alpk
阿联酋	alqq
按劳取酬	alqi
安乐死	alsi
按理说	aluo
阿里山	aluj
安乐窝	alwo
阿猫阿狗	amag
哀莫大于心死	amds
鞍马劳顿	amld
爱莫能助	amnv
爱民如子	amrz
阿姆斯特丹	amsd
爱美之心	amvx
奥妙无穷	amwq
安眠药	amyc
爱面子	amzi
暗暗	anan
安保	anbc
案板	anbj
岸边	anbm
按捺不住	anbv
懊恼不已	anby
暗藏	anch
按此	anci
按错	anco
暗道	andc
暗地	andi
暗淡	andj
安定	andk
安度	andu
安顿	andy
案发	anfa
安分	anff
暗讽	anfg
安放	anfh
案犯	anfj
安抚	anfu
暗格	ange
暗沟	angz
暗号	anhc
暗害	anhd
暗合	anhe
暗含	anhj
暗黄	anhl
暗红	anhs
安徽	anhv
暗黑	anhw
安插	ania
暗潮	anic
暗娼	anih
暗疮	anil
暗处	aniu
鹌鹑	aniy
按季	anji
安静	anjk
案件	anjm
暗礁	anjn
按揭	anjp
案卷	anjr
安居	anju
安家	anjx
