我	牫
唔	娪
哇	眭
静	瀞
安	㝊
京	亰
酱	醤
群	羣
迎	迊
丝	纟
系	係
今	亽
欢	弞
长	镸
众	㐺
从	仌
玩	坃
乐	泺
午	仐
也	乜
卷	巻
节	兯
么	幺
没	沒
样	佯
在	恠
猫	貓
就	僦
其	倛
别	別
随	隨
早	旪
去	佉
的	旳
贺	㔔
电	㫣
点	⼂
怀	怌
这	迠
步	歩
好	妤
是	昰
晚	晩
户	戶
喵	媌
况	况
况	况
善	善
善	善
喙	喙
喙	喙
喝	喝
喝	喝
嘆	嘆
嘆	嘆
塚	塚
塚	塚
多	多
天	㆝
女	⼥
女	女
嬾	嬾
嬾	嬾
寧	寧
寧	寧
寧	寧
尢	⼪
尢	尢
屮	⼬
屮	屮
屮	屮
廊	廊
廊	廊
廾	⼶
廾	廾
弢	弢
弢	弢
悔	悔
悔	悔
慌	慌
慌	慌
慎	慎
慎	慎
憎	憎
憎	憎
憎	憎
懲	懲
懲	懲
懲	懲
懶	懶
懶	懶
敏	敏
敏	敏
晴	晴
晴	晴
暑	暑
暑	暑
朗	朗
朗	朗
朗	朗
望	望
望	望
梅	梅
梅	梅
樂	樂
樂	樂
樂	樂
歹	⽍
歹	歹
殺	殺
殺	殺
殺	殺
流	流
流	流
流	流
海	海
海	海
滋	滋
滋	滋
漢	漢
漢	漢
瀞	瀞
瀞	瀞
煮	煮
煮	煮
爵	爵
爵	爵
猪	猪
猪	猪
率	率
率	率
瑱	瑱
瑱	瑱
生	⽣
生	🈢
異	異
異	異
益	益
益	益
直	直
直	直
真	真
真	真
睊	睊
睊	睊
碌	碌
碌	碌
磌	磌
磌	磌
祖	祖
祖	祖
福	福
福	福
穀	穀
穀	穀
立	⽴
立	立
節	節
節	節
練	練
練	練
練	練
羽	⽻
羽	羽
老	⽼
老	老
者	者
者	者
者	者
舁	舁
舁	舁
艹	艹
艹	艹
若	若
若	若
著	著
著	著
虜	虜
虜	虜
蝹	蝹
蝹	蝹
行	⾏
行	行
衣	⾐
衣	衣
見	⾒
見	見
視	視
視	視
說	說
說	說
諭	諭
諭	諭
諸	諸
諸	諸
諾	諾
諾	諾
謁	謁
謁	謁
謹	謹
謹	謹
變	變
變	變
豕	⾗
豕	豕
贈	贈
贈	贈
車	⾞
車	車
輸	輸
輸	輸
辰	⾠
辰	辰
逸	逸
逸	逸
里	⾥
里	里
金	⾦
金	金
難	難
難	難
靖	靖
靖	靖
響	響
響	響
頋	頋
頋	頋
頋	頋
頻	頻
頻	頻
鬒	鬒
鬒	鬒
鹿	⿅
鹿	鹿
麻	⿇
麻	麻
黹	⿋
黹	黹
鼻	⿐
鼻	鼻
龍	⿓
龍	龍
龜	⿔
龜	龜
龜	龜
龜	龜
𢌱	𢌱
𢌱	𢌱
𥪧	𥪧
𥪧	𥪧
㒞	㒞
㒹	㒹
㒻	㒻
㓟	㓟
㔕	㔕
㛮	㛮
㛼	㛼
㞁	㞁
㠯	㠯
㡢	㡢
㡼	㡼
㣇	㣇
㣣	㣣
㤜	㤜
㤺	㤺
㨮	㨮
㩬	㩬
㫤	㫤
㬈	㬈
㬙	㬙
㭉	㭉
㮝	㮝
㰘	㰘
㱎	㱎
㴳	㴳
㶖	㶖
㺬	㺬
㺸	㺸
㼛	㼛
㿼	㿼
䀈	䀈
䀘	䀘
䀹	䀹
䁆	䁆
䂖	䂖
䃣	䃣
䄯	䄯
䈂	䈂
䈧	䈧
䊠	䊠
䌁	䌁
䌴	䌴
䍙	䍙
䏕	䏕
䏙	䏙
䐋	䐋
䑫	䑫
䔫	䔫
䕝	䕝
䕡	䕡
䕫	䕫
䗗	䗗
䗹	䗹
䘵	䘵
䚾	䚾
䛇	䛇
䦕	䦕
䧦	䧦
䩮	䩮
䩶	䩶
䪲	䪲
䬳	䬳
