𢡃	yiyp

# 原始编码数量统计（仅列出分组大小 > 3 的编码）
limm	12
yjyu	12
limd	12
yuhc	12
lqmw	12
yuhn	12
lihd	11
limb	11
vihm	11
wjbu	11
yihn	11
bnhf	11
lihm	11
lkhi	11
lkhl	11
bibj	10
bohe	10
guge	10
jihe	10
jnhk	10
limi	10
yibd	10
bihj	10
limn	10
lkmi	10
lshp	10
mchu	10
wjhu	10
bahe	9
ditm	9
iumo	9
junr	9
lihe	9
qihc	9
quyu	9
vigf	9
xmhu	9
yuhv	9
bitj	9
liml	9
xmou	9
yjmf	9
yunb	9
yjmv	9
jihu	9
bohk	9
gehr	9
huge	9
uuhn	9
yiin	9
bmyj	8
bole	8
diyb	8
ffhh	8
fute	8
jihf	8
jitn	8
jmti	8
qimf	8
tmmc	8
vihi	8
vimm	8
xuhc	8
yiyc	8
yiyr	8
yjbv	8
yjuk	8
yjvv	8
yjyh	8
yutm	8
yzyu	8
bohi	8
diti	8
genr	8
lkml	8
lihf	8
lqhw	8
qimr	8
tonp	8
vadm	8
wjtu	8
yivt	8
ffth	8
fuhi	8
ggnm	8
gvnu	8
heyr	8
hhhn	8
jihi	8
kuhr	8
lcms	8
lime	8
wunf	8
wwnv	8
yjnv	8
bcmu	7
bjyj	7
fulk	7
fuqi	7
guyr	7
gvmi	7
jibf	7
jihl	7
jimi	7
jirj	7
jknm	7
jmmm	7
lkho	7
lmhc	7
mgtu	7
mwhu	7
mwid	7
qihr	7
vjsi	7
wwhu	7
wwvv	7
xiho	7
xiyk	7
xynj	7
yihc	7
yiho	7
yitn	7
yjhv	7
yjmk	7
yjmu	7
yktu	7
yrnu	7
yuhd	7
yumk	7
yuyb	7
yzhw	7
zitd	7
zsse	7
jike	7
dmmc	7
futb	7
fulo	7
gzge	7
herr	7
hsvi	7
jusn	7
jpll	7
juhr	7
lpmf	7
lsbp	7
todp	7
ujnm	7
wwnb	7
yunn	7
ycyu	7
yytt	7
yjav	7
yiip	7
yibr	7
yuok	7
yuyo	7
yivp	7
cimp	7
yikn	7
vimg	7
biij	7
bpff	7
cjmi	7
eehi	7
eemi	7
fuhn	7
jpnl	7
kemt	7
lchs	7
lihi	7
lihn	7
ljmt	7
pdhj	7
pihp	7
rshj	7
tohp	7
tond	7
tvhc	7
xplk	7
xuhb	7
yihp	7
yisf	7
zuym	7
bigj	6
bilj	6
bill	6
bimj	6
birj	6
dhhh	6
fhhs	6
fuhe	6
fuvi	6
gchj	6
hchj	6
hehr	6
henr	6
hhyn	6
hjbj	6
hlhu	6
hlvu	6
hstc	6
hudm	6
ijlr	6
ijyu	6
iuye	6
jihr	6
jijk	6
jimu	6
jinm	6
jiri	6
jiti	6
jmli	6
jnnf	6
jubm	6
jubr	6
juhc	6
jutr	6
lids	6
liks	6
lkyi	6
mihu	6
npru	6
qimc	6
qlvi	6
qmqq	6
qrfu	6
qrvg	6
rfvg	6
rsji	6
ruvf	6
sjhh	6
tmhw	6
vihc	6
viya	6
vrvi	6
wjju	6
wumm	6
xmlu	6
xmmi	6
xmmu	6
xmru	6
xmvi	6
xpyb	6
ycjk	6
ycmk	6
yctu	6
ycuu	6
ycvu	6
yhbk	6
yhhh	6
yihf	6
yilk	6
yilp	6
yimu	6
yiso	6
yjyr	6
yuhf	6
yuho	6
yumb	6
yumn	6
ziyr	6
vihv	6
bihp	6
booi	6
djmj	6
dimb	6
fjhw	6
fuve	6
fuhd	6
futn	6
hetr	6
hlhg	6
jpqo	6
jije	6
jirn	6
jinl	6
jtnk	6
jinf	6
kemr	6
lims	6
lihb	6
lomr	6
luye	6
mome	6
mgho	6
qitf	6
qiyc	6
sior	6
szoe	6
tuhd	6
vuhd	6
viog	6
wuhr	6
xpyv	6
xumm	6
yuon	6
yamm	6
yiyt	6
yioo	6
yjeu	6
yimt	6
yums	6
yjlv	6
yjyc	6
bilp	6
bivj	6
bone	6
dini	6
fgvj	6
futw	6
fwlu	6
geqr	6
ggvm	6
hejr	6
hsji	6
huhn	6
hzbk	6
jihj	6
jihp	6
jion	6
jmhi	6
jmoi	6
jrfs	6
litg	6
ljrw	6
ljtw	6
luhe	6
lune	6
mcju	6
mgbu	6
mgtp	6
nanb	6
nihp	6
pcdu	6
pchu	6
phms	6
pnhf	6
pore	6
qihf	6
qtge	6
qusr	6
sihp	6
thhr	6
uchb	6
uihb	6
uuof	6
vjyr	6
vshg	6
wumf	6
ximb	6
xmhn	6
xnkb	6
xunn	6
xuym	6
yboo	6
ychu	6
yeod	6
yiek	6
yiet	6
yihi	6
ykff	6
ykok	6
yuhm	6
zsvp	6
yiov	5
aihe	5
bahu	5
bbdc	5
bchu	5
bihl	5
bikj	5
binj	5
bnbk	5
bohd	5
boji	5
boli	5
bore	5
cvbj	5
dili	5
dimm	5
diug	5
divi	5
dnhr	5
duti	5
fuhw	5
fuii	5
fuke	5
fule	5
fumo	5
fumw	5
fuvd	5
gedr	5
ggbm	5
gjbj	5
gvqu	5
heir	5
hlbu	5
hrbk	5
hrbu	5
hsmc	5
huhj	5
hutu	5
huyi	5
huyl	5
hvhe	5
hvnr	5
hvyi	5
iibi	5
iiyd	5
iiyr	5
ijmm	5
iuli	5
jibi	5
jidi	5
jiho	5
jikk	5
jilo	5
jimk	5
jinu	5
jind	5
jiql	5
jisc	5
jitc	5
jitj	5
jiyi	5
jkmm	5
jmhu	5
jnhe	5
jnkk	5
jpdr	5
jpyr	5
jubf	5
judq	5
juhs	5
jxkr	5
kvtc	5
lddc	5
lidd	5
lilb	5
lmdj	5
lzuv	5
mcvu	5
mibu	5
mwdd	5
mwmd	5
mwmu	5
piyj	5
pktj	5
qiju	5
qill	5
qinc	5
qitc	5
qitn	5
qitu	5
qiyl	5
qlui	5
qmqm	5
qmtj	5
qnmf	5
qqhe	5
qrhg	5
qubr	5
rclu	5
sunl	5
thth	5
tiho	5
tmmw	5
tytu	5
uibf	5
uiho	5
uihr	5
uijk	5
uimb	5
uiti	5
uiyk	5
uiyt	5
ulhe	5
uuhd	5
uvlu	5
vfvh	5
vgqt	5
vibi	5
vihg	5
vinm	5
viri	5
vuda	5
vuhu	5
vuig	5
vutn	5
wfyi	5
wjlu	5
wwbk	5
wwhr	5
wwmi	5
wwmu	5
wwuu	5
xiif	5
xins	5
xirf	5
xiyi	5
xkmm	5
xlvl	5
xmdo	5
xmqi	5
xnkd	5
xnyk	5
xpho	5
xpyi	5
xyge	5
xyli	5
yayh	5
ybdp	5
ybmc	5
ybvl	5
ycbu	5
yibp	5
yihe	5
yihj	5
yihu	5
yikk	5
yild	5
yiln	5
yimo	5
yinl	5
yitm	5
yiui	5
yiyi	5
yjhf	5
yjhu	5
yjvu	5
ykkv	5
yrmf	5
yrtu	5
ythe	5
yubv	5
yuhq	5
yujf	5
yuln	5
yuyv	5
yzhd	5
yztd	5
zeyc	5
zshe	5
antv	5
aogk	5
aoqk	5
aogi	5
bihh	5
bcbu	5
bitp	5
bosd	5
bnnf	5
bahk	5
citm	5
comm	5
fwhy	5
gsmi	5
gelr	5
guhr	5
gcdj	5
gchr	5
izhi	5
igbg	5
iihn	5
ijoi	5
jusr	5
jmev	5
jimm	5
jnok	5
jxtr	5
jivl	5
jnvk	5
jyos	5
jitl	5
jiml	5
jpkl	5
jisr	5
jiyl	5
kvte	5
ljew	5
lsmp	5
limt	5
lihk	5
luha	5
lird	5
lint	5
lhhv	5
ljlw	5
lnhf	5
limu	5
mgbo	5
mibd	5
mglo	5
mcbu	5
npud	5
phhs	5
pism	5
qiic	5
qitl	5
tjmj	5
ughm	5
uini	5
vfmc	5
vijg	5
virm	5
viml	5
vjym	5
wwtv	5
wweb	5
wjmu	5
wwni	5
xxme	5
xmnx	5
xnhk	5
xmfu	5
xmtu	5
xihk	5
xief	5
xinb	5
xmaf	5
xuvb	5
yiyv	5
yjyo	5
yisc	5
yerk	5
yktf	5
yuyk	5
yior	5
ybtl	5
yiyd	5
yion	5
yirn	5
ykmv	5
yikp	5
ycbf	5
yunk	5
yumm	5
yamh	5
ycju	5
yisu	5
yjik	5
iikn	5
lwkw	5
tmtr	5
bisj	5
jmtf	5
jmmi	5
yiyk	5
yuio	5
bibe	5
bidj	5
binh	5
boti	5
cseo	5
csho	5
cslp	5
cssp	5
csvp	5
cvfj	5
cvhg	5
dhhw	5
dinm	5
djmv	5
dmkc	5
eemu	5
eeyr	5
fgtj	5
fumb	5
fusi	5
fuvk	5
fwno	5
gohm	5
gvdu	5
gxhr	5
gzbr	5
hemf	5
hjnj	5
hjoo	5
hlhc	5
hobe	5
hsfm	5
hshc	5
hsmi	5
huhb	5
huhf	5
hznk	5
idti	5
iidf	5
ijbm	5
iyba	5
jihk	5
jirk	5
jivn	5
jmon	5
jnhf	5
jtge	5
jtne	5
jusf	5
klkg	5
klyg	5
lddo	5
lihp	5
lijd	5
limp	5
livn	5
liyg	5
ljfw	5
ljmw	5
lkmr	5
lkyl	5
lnkf	5
lnmf	5
lohr	5
lphn	5
lqhn	5
lskp	5
lump	5
luve	5
lwww	5
lzhv	5
lzmv	5
lztv	5
mgmo	5
miyd	5
mmbs	5
mmjs	5
nshv	5
pihe	5
