;	：
;a	！
;b	_
;c	”
;d	、
;e	（
;f	|
;g	·
;h	=
;i	-
;j	+
;k	(
;l	)
;m	」
;n	「
;o	[
;p	]
;q	：“
;r	）
;s	……
;t	@
;u	》
;v	——
;w	？
;x	→
;y	《
;z	“
a	啊
a	按
a	安装
aa	阿
aab	腌
aaba	阿爸
aacr	錒
aadb	嗷嗷待哺
aage	阿哥
aaha	啊哈
aahu	𨉚
aahv	𨉚
aajj	安安静静
aajr	𥥩
aala	阿拉
aama	阿妈
aamf	阿门
aamj	阿曼
aamw	阿妹
aan	阿
aao	锕
aaom	𠼞
aapo	阿婆
aapp	矮矮胖胖
aaqq	安安全全
aar	吖
aare	嗄
aasi	𱚱
aavi	AA制
aaww	安安稳稳
aaxx	安安心心
aaya	啊呀
aayi	阿姨
aayo	啊哟
aaza	腌臜
ab	安保
abai	爱不爱
abbd	按兵不动
abbu	哀兵必胜
abdg	安邦定国
abdi	安步当车
abdy	阿鼻地狱
abgo	熬不过
abhz	阿布哈兹
abjb	按部就班
abjp	矮半截
ablk	爱别离苦
ablm	鞍不离马
ablo	阿波罗
abuu	爱不释手
abvb	阿布扎比
abvu	熬不住
ac	按错
acrk	爱才若渴
acrm	爱财如命
acuj	暗藏杀机
acxj	暗藏玄机
ad	按到
ader	安道尔
adic	暗渡陈仓
adl	按道理
adli	奥地利
adly	澳大利亚
adwn	安度晚年
ae	挨饿
aeby	阿尔巴尼亚
aefa	阿尔法
aeje	阿尔及尔
aejy	阿尔及利亚
aelj	爱尔兰
af	安分
afet	埃菲尔铁塔
afhj	阿富汗
afti	阿凡提
afuj	安分守己
ag	昂贵
agjy	爱岗敬业
agla	安哥拉
agtk	阿根廷
aguy	熬更守夜
agve	爱国者
agvy	爱国主义
ah	昂
ahal	昻
ahat	𣉗
ahb	肮
ahbl	䀚
ahbn	骯
ahbu	腌
ahbv	腌
ahby	哀鸿遍野
ahcu	𦫫
ahdl	枊
ahdl	㭿
ahdt	𣖮
ahgu	𡕉
ahgv	昂贵
ahh	卬
ahhc	𩑝
ahhk	䇦
ahhl	𢓋
ahin	𤭒
ahjk	軮
ahl	盎
ahln	㼜
ahmk	雵
ahmt	醠
ahnc	𩔘
ahol	仰
ahol	𩜟
ahqi	昂起
ahqi	爱恨情仇
ahri	安好如初
ahrj	盎然
ahrl	𠵫
ahrt	𠹃
ahsi	盎司
ahsl	䭹
ahsn	䭺
ahtb	𩉰
ahtl	䒢
ahtl	䩕
ahug	安徽省
ahul	岇
ahul	𡵙
ahuz	昂首
ahv	爱好者
ahve	昂着
ahyh	昂扬
ahzh	肮脏
ai	爱
aia	暧
aiae	曖
aiae	昹
aiai	矮矮
aiao	閡
aiap	𢟪
aiat	𣉼
aiat	𣋞
aiat	𨶂
aib	爱
aibc	䑂
aibe	愛
aibe	瞹
aibf	𪇈
aibg	䝽
aibl	䀳
aibm	癌变
aibt	賹
aibt	𩪂
aibv	𧵨
aicd	爱才
aice	鑀
aick	銰
aicv	鎄
aida	挨打
aidc	哀悼
aidd	爱戴
aide	𣜬
aido	𣝅
aiee	挨饿
aiei	溾
aiet	溰
aiet	濭
aieu	𰛥
aifa	挨罚
aifk	㶼
aifu	爱抚
aifw	爱妃
aig	埃
aigc	哀告
aige	挨个
aigg	𦥂
aigh	爱岗
aigh	毐
aigj	毐
aigk	㘷
aigo	爱国
aigt	塧
aigt	壒
aigt	𭏦
aigv	堨
aigv	𡉓
aihc	爱好
aihe	爱河
aihe	皧
aihe	𥡽
aihe	𥴨
aihe	𫂖
aihf	爱恨
aihn	戹
aiho	爱火
aiho	䠹
aihp	𢟪
aiht	䅬
aiht	皚
aiht	𦩴
aihu	爱护
aihu	皑
aihv	躷
aihv	馤
aihv	𪕭
aii	欸
aiic	爱巢
aiig	爱称
aiii	爱吃
aiik	诶
aiin	戹
aiio	𬤩
aiir	㢊
aiit	凒
aiiz	哀愁
aijb	挨近
aije	𥤦
aiji	埃及
aijl	爱将
aijq	艾灸
aik	癌
aikb	𤢵
aike	㿄
aike	𤻢
aikj	爱看
aiko	㾢
aikt	𤸳
aiku	爱哭
aikv	𤸖
aile	𧓁
ailm	爱恋
ailo	𧏹
ailv	爱侣
aim	霭
aima	挨骂
aimb	爱民
aimb	𩫇
aime	瑷
aime	叆
aime	璦
aime	靉
aimi	碍
aimi	㕌
aimk	哀鸣
aimk	砹
aimk	𧰿
aiml	𩈋
aimn	砨
aimo	礙
aimo	硋
aimp	㤅
aimt	㱯
aimt	磑
aimt	𣩱
aimu	爱慕
aimu	硙
aimu	𧡋
aimv	䨠
aimv	靄
aimw	暧昧
ain	隘
aine	鱫
aink	𫘤
ainn	阸
ainu	阨
ainv	𮩝
aio	矮
aio	锿
aioe	僾
aioe	𫣊
aioe	𰾭
aiog	𠊎
aior	佁
aiou	伌
aiov	餲
aipe	懓
aipe	𭞄
aiph	矮胖
aipo	懝
aipo	𢟰
aipp	𢣕
aips	𣤃
aipt	㦈
aipt	𢣏
aiq	挨
aiqg	捱
aiqk	爱情
aiqk	𢰇
aiql	矮墙
aiqp	哀切
aiqq	哀求
air	唉
aird	呆
aird	𠳳
aire	嗳
aire	噯
airf	爱人
airg	啀
airg	嘊
airk	哎
airo	𡁍
airt	嗌
airv	㗒
aisi	爱死
aisk	騃
aiso	𦗐
aiss	𦗍
aist	𩮖
aisu	𡰽
ait	艾
aite	薆
aite	𫉁
aitf	鴱
aitg	𦥈
aiti	挨踢
aitj	哀叹
aitk	爱听
aitm	𱉪
aits	哀痛
aitv	蔼
aitv	藹
aitv	䔽
aiue	敱
aiuf	爱神
