;	：
;a	！
;b	_
;c	”
;d	、
;e	（
;g	·
;h	=
;i	|
;j	~
;k	(
;l	)
;o	[
;p	]
;q	：“
;r	）
;s	……
;t	@
;u	》
;v	——
;w	？
;x	→
;y	《
;z	“
a	啊
a	按
a	安装
a	あ
a	ア
a	ㄚ
a	α
a	Α
a	ā
a	á
a	ǎ
a	à
a	â
a	ä
a	ã
a	å
a	ă
a	ą
a	ā̱
a	ɑ
a	ɒ
a	Ā
a	Á
a	Ǎ
a	À
a	Â
a	Ä
a	Ã
a	Å
a	Ă
a	Ą
a	А
a	ᶏ
a	ᶐ
aa	阿
aab	腌
aaba	阿爸
